"phenotype_id","target_table","category","field_or_phenotype","data_type","allowed_values_or_format","unit","description","examples_observed_in_reports","extraction_notes"
"obesity_overweight","phenotype_events","diagnosis_problem","obesity_overweight","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Overweight or obesity diagnosis/status.","AVIE overweight; sample report BCS 7/9","Use BCS evidence."
"megaesophagus_history","phenotype_events","diagnosis_problem","megaesophagus_history","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","History of megaesophagus.","sample report diagnosed younger and grown out of it","Historical/resolved."
"colitis","phenotype_events","diagnosis_problem","colitis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Colitis diagnosis or rule-out.","sample report colitis; sample report rule-outs","Preserve rule-out."
"gastroenteritis_gastritis","phenotype_events","diagnosis_problem","gastroenteritis_gastritis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Gastritis or gastroenteritis.","sample report gastritis; sample report vomiting rule-outs","Preserve suspected status."
"inflammatory_bowel_disease","phenotype_events","diagnosis_problem","inflammatory_bowel_disease","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","IBD suspected or diagnosed.","sample report colitis/IBD rule-out; sample report GI workup","Often rule-out."
"lymphangiectasia","phenotype_events","diagnosis_problem","lymphangiectasia","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Lymphangiectasia suspected or diagnosed.","sample report rule-out list","Often rule-out."
"malabsorption_maldigestion","phenotype_events","diagnosis_problem","malabsorption_maldigestion","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Malabsorption, maldigestion, nutrient utilization problem.","sample report suspected small intestinal malabsorption","Use GI/nutrition context."
"exocrine_pancreatic_insufficiency","phenotype_events","diagnosis_problem","exocrine_pancreatic_insufficiency","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","EPI listed as rule-out or diagnosis.","sample report EPI rule-out; GI panels","Rule-out unless confirmed."
"pancreatitis","phenotype_events","diagnosis_problem","pancreatitis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Pancreatitis suspected, ruled out, or lab-supported.","sample reports PrecisionPSL notes; sample report rule-out","Use lab_results for PSL/PLI."
"hypoproteinemia_low_total_protein","phenotype_events","diagnosis_problem","hypoproteinemia_low_total_protein","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Low total protein or protein-losing concern.","sample report low protein due to GI loss","Lab value in lab_results."
"hepatopathy_liver_injury","phenotype_events","diagnosis_problem","hepatopathy_liver_injury","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Hepatic injury, high liver enzymes, hepatopathy.","sample report recurrent hepatic injury/hepatopathy; sample report hepatosupport","Do not infer from supplement alone."
"renal_injury_kidney_disease","phenotype_events","diagnosis_problem","renal_injury_kidney_disease","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Renal injury or kidney disease concern.","sample report renal injury discussion; UA/UPC","Use suspected if not confirmed."
"allergic_dermatitis","phenotype_events","diagnosis_problem","allergic_dermatitis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Allergic dermatitis.","sample report allergic dermatitis; sample report allergic dermatitis rule-out","May overlap atopy/food/flea allergy."
"canine_atopic_dermatitis","phenotype_events","diagnosis_problem","canine_atopic_dermatitis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Atopy or CAD.","sample report atopic rule-out; sample report CAD/check skin","Preserve suspected/confirmed."
"flea_allergy_dermatitis","phenotype_events","diagnosis_problem","flea_allergy_dermatitis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Flea allergy dermatitis.","sample report FAD suspected","Use external parasite evidence when available."
"cutaneous_adverse_food_reaction","phenotype_events","diagnosis_problem","cutaneous_adverse_food_reaction","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Food allergy or adverse food reaction.","sample report chicken cutaneous adverse food reactor; sample report food allergy rule-out","Diet context important."
"superficial_pyoderma","phenotype_events","diagnosis_problem","superficial_pyoderma","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Superficial pyoderma or bacterial skin infection.","sample report pyoderma; sample report superficial pyoderma","Capture secondary infection if stated."
"yeast_dermatitis","phenotype_events","diagnosis_problem","yeast_dermatitis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Yeast dermatitis or infection.","sample report secondary yeast; U-sample report nasal yeast recurrence rule-out","Preserve rule-out."
"pododermatitis","phenotype_events","diagnosis_problem","pododermatitis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Pododermatitis.","sample report pododermatitis","Use paw/foot site."
"otitis","phenotype_events","diagnosis_problem","otitis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Otitis or ear infection.","sample report possible otitis; sample report Otitis AU","Capture side."
"nasal_alopecia","phenotype_events","diagnosis_problem","nasal_alopecia","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Nasal alopecia.","U-sample report nasal alopecia","Derm/nasal overlap."
"external_parasites_fleas","phenotype_events","diagnosis_problem","external_parasites_fleas","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Flea evidence or external parasites.","sample report owner saw flea; sample report no external parasites","Use absent only if explicit."
"mild_dental_disease","phenotype_events","diagnosis_problem","mild_dental_disease","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Mild dental disease.","sample report mild dental disease","General dental phenotype."
"periodontal_disease","phenotype_events","diagnosis_problem","periodontal_disease","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Periodontal disease.","sample report periodontal disease 2/4","Record grade."
"tooth_root_abscess","phenotype_events","diagnosis_problem","tooth_root_abscess","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Tooth root abscess.","sample report facial swelling DDX","Usually rule-out/suspected."
"retained_deciduous_tooth","phenotype_events","diagnosis_problem","retained_deciduous_tooth","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Retained baby tooth.","sample report retained 604 extraction","Dental event."
"valley_fever_coccidioidomycosis","phenotype_events","diagnosis_problem","valley_fever_coccidioidomycosis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Valley fever/coccidioidomycosis.","sample report VALLEY FEVER; cough due to VF","Use diagnostic_events for titer."
"heartworm_infection","phenotype_events","diagnosis_problem","heartworm_infection","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Heartworm infection if positive.","Many negative heartworm tests","Negative tests belong in diagnostic_events/lab_results."
"giardia","phenotype_events","diagnosis_problem","giardia","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Giardia infection or positive test.","sample report GIARDIA history; many Giardia negative tests","Test results also in diagnostic_events."
"intestinal_parasites","phenotype_events","diagnosis_problem","intestinal_parasites","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Intestinal parasite infection.","Ova and parasite checks; fecal negative","Do not infer absent unless tested negative."
"urinary_tract_infection","phenotype_events","diagnosis_problem","urinary_tract_infection","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","UTI/cystitis.","U-sample report UTI; E coli/Pseudomonas urine cultures","Use culture details."
"recurrent_uti","phenotype_events","diagnosis_problem","recurrent_uti","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Recurrent UTI.","U-sample report recurrent UTI rule-out","Longitudinal condition."
"bacteriuria_or_positive_urine_culture","phenotype_events","diagnosis_problem","bacteriuria_or_positive_urine_culture","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Positive urine culture or bacteria.","U-sample report Escherichia coli and Pseudomonas; urine culture pending","Organism in lab_results/diagnostic_events."
"proteinuria","phenotype_events","diagnosis_problem","proteinuria","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Urine protein or UPC abnormal.","sample report proteinuria and UPC 1.0; UA 3+ protein","Use lab_results values."
"crystalluria","phenotype_events","diagnosis_problem","crystalluria","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Urine crystals.","Calcium oxalate dihydrate crystals; bilirubin crystals","Use crystal type."
"urolithiasis_bladder_stone","phenotype_events","diagnosis_problem","urolithiasis_bladder_stone","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Bladder stone/urolithiasis.","U-sample report bladder stone rule-out","Usually rule-out if not confirmed."
"chronic_rhinitis","phenotype_events","diagnosis_problem","chronic_rhinitis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Chronic rhinitis.","sample report CT/rhinoscopy diagnosis","Resp/nasal disease."
"atelectasis","phenotype_events","diagnosis_problem","atelectasis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Atelectasis.","sample report right middle lung lobe atelectasis","Imaging-supported."
"aspiration_pneumonia","phenotype_events","diagnosis_problem","aspiration_pneumonia","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Aspiration pneumonia.","sample report cough rule-out","Preserve rule-out."
"chronic_bronchitis","phenotype_events","diagnosis_problem","chronic_bronchitis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Chronic bronchitis.","sample report cough rule-out","Preserve rule-out."
"pulmonary_mass_or_carcinoma","phenotype_events","diagnosis_problem","pulmonary_mass_or_carcinoma","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Pulmonary mass, carcinoma, or lung lobe lesion.","sample report pulmonary carcinoma and lung mass","Oncology/respiratory."
"mast_cell_tumor","phenotype_events","diagnosis_problem","mast_cell_tumor","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Mast cell tumor.","sample report MCT cytology/history","Use pathology/cytology evidence."
"hemangioma","phenotype_events","diagnosis_problem","hemangioma","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Benign hemangioma.","sample report histopath hemangioma","Pathology-supported."
"papilloma","phenotype_events","diagnosis_problem","papilloma","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Papilloma.","sample report PAPILLOMA; sample report skin tags/papillomas rule-out","Use body_site."
"infundibular_keratinizing_acanthoma","phenotype_events","diagnosis_problem","infundibular_keratinizing_acanthoma","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Benign cystic skin tumor.","sample report histopath","Pathology-supported."
"benign_skin_cyst","phenotype_events","diagnosis_problem","benign_skin_cyst","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Benign cystic skin growth.","sample report dermal cyst","Pathology-supported."
"anal_sac_or_perianal_mass","phenotype_events","diagnosis_problem","anal_sac_or_perianal_mass","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Anal sac or perianal mass/tumor.","sample report perianal/anal gland tumor rule-out","Separate from abscess."
"neoplasia_suspected","phenotype_events","diagnosis_problem","neoplasia_suspected","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Neoplasia listed as suspected or rule-out.","sample report malignant neoplasia rule-out; sample report neoplasia considered","Do not mark as confirmed."
"lymphadenopathy","phenotype_events","diagnosis_problem","lymphadenopathy","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Enlarged lymph nodes or lymphadenopathy.","sample report suspected lymph node enlargement; normal PLN statements","Capture absent only when explicit."
"patellar_luxation","phenotype_events","diagnosis_problem","patellar_luxation","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Patellar luxation.","AVIE bilateral patellar luxation; sample report absent luxating patellas","Capture laterality."
"osteoarthritis","phenotype_events","diagnosis_problem","osteoarthritis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Osteoarthritis or degenerative joint disease.","sample report progressive LS osteoarthritis","Use imaging if available."
"iliopsoas_sprain_strain","phenotype_events","diagnosis_problem","iliopsoas_sprain_strain","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Iliopsoas/psoas sprain, strain, or pain.","sample report iliopsoas sprain and psoas pain","MSK/neuro overlap."
"degenerative_lumbosacral_stenosis","phenotype_events","diagnosis_problem","degenerative_lumbosacral_stenosis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","DLSS or LS foraminal stenosis.","sample report DLSS diagnosed Jan 2020","Longitudinal neuro/ortho condition."
"intervertebral_disc_disease","phenotype_events","diagnosis_problem","intervertebral_disc_disease","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","IVDD, disc extrusion, protrusion, degeneration.","sample report LS IVDD and disc extrusion/protrusion","Use site if stated."
"lumbosacral_subluxation_instability","phenotype_events","diagnosis_problem","lumbosacral_subluxation_instability","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","L7-S1 subluxation or instability.","sample report LS subluxation/instability","Imaging-supported."
"discospondylitis_osteomyelitis","phenotype_events","diagnosis_problem","discospondylitis_osteomyelitis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Discospondylitis or osteomyelitis.","sample report active discospondylitis; osteomyelitis","Infectious/neuro."
"implant_infection_or_loosening","phenotype_events","diagnosis_problem","implant_infection_or_loosening","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Implant-associated infection or loosening.","sample report implant loosening/infection","Procedure context."
"septic_arthritis","phenotype_events","diagnosis_problem","septic_arthritis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Septic arthritis.","sample report early left sacroiliac septic arthritis rule-out/suspected","Preserve uncertainty."
"cervical_pain","phenotype_events","diagnosis_problem","cervical_pain","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Neck/cervical pain.","sample report cervical pain after rehab","Capture trigger and status."
"l4_s2_myelopathy","phenotype_events","diagnosis_problem","l4_s2_myelopathy","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","L4-S2 myelopathy.","sample report L4-S2 myelopathy rule-out","Specialty neuro phenotype."
"immune_mediated_thrombocytopenia","phenotype_events","diagnosis_problem","immune_mediated_thrombocytopenia","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","IMTP/ITP.","sample report immune mediated thrombocytopenia","Heme/immune."
"thrombocytopenia","phenotype_events","diagnosis_problem","thrombocytopenia","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Low platelets.","sample report platelet count 11; sample report platelet low/clumped","Lab value in lab_results."
"anemia","phenotype_events","diagnosis_problem","anemia","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Anemia.","sample report low RBC/HGB/HCT","Lab-supported."
"reticulocytosis","phenotype_events","diagnosis_problem","reticulocytosis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","High reticulocytes.","sample report/reference lab retic high; sample report reticulocyte high","Lab-supported."
"coagulopathy","phenotype_events","diagnosis_problem","coagulopathy","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Coagulation disorder or bleeding disorder.","sample report coagulopathy secondary to chemotherapy rule-out","Use PT/PTT."
"hypothyroidism_suspected","phenotype_events","diagnosis_problem","hypothyroidism_suspected","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Hypothyroidism or endocrine disease suspected.","sample report suspect hypothyroidism; sample report emerging thyroid disease rule-out","Use thyroid labs."
"hyperadrenocorticism_cushing_suspected","phenotype_events","diagnosis_problem","hyperadrenocorticism_cushing_suspected","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Cushing/hyperadrenocorticism concern or testing.","sample report Discuss Cushings Testing; PU/PD weight gain","Preserve test status."
"hypoadrenocorticism_addison_ruleout","phenotype_events","diagnosis_problem","hypoadrenocorticism_addison_ruleout","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Addison/hypoadrenocorticism suspected or ruled out.","sample report Addison ruled out by baseline cortisol","Use rule_out/resolved status."
"proestrus_estrus_reproductive_cycle","phenotype_events","diagnosis_problem","proestrus_estrus_reproductive_cycle","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Proestrus/estrus/reproductive cycle status.","sample report apparently healthy dog in proestrus","Reproductive phenotype."
"progesterone_tracking","phenotype_events","diagnosis_problem","progesterone_tracking","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Progesterone testing for reproductive timing.","sample report PROG values","Lab values in lab_results."
"rattlesnake_envenomation","phenotype_events","diagnosis_problem","rattlesnake_envenomation","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Rattlesnake bite/envenomation.","sample report rattlesnake envenomation with necrotic wound","Trauma/toxicology."
"dog_bite","phenotype_events","diagnosis_problem","dog_bite","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Dog bite.","sample report DOG BITE","Trauma event."
"paw_pad_laceration_or_infection","phenotype_events","diagnosis_problem","paw_pad_laceration_or_infection","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Paw/pad laceration, puncture, or infection.","sample report paw laceration; sample report nonhealing pad wound","Use body site/laterality."
"torn_fractured_nail","phenotype_events","diagnosis_problem","torn_fractured_nail","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Torn or fractured nail.","sample report torn nail/fractured nail","Trauma."
"bandage_complication","phenotype_events","diagnosis_problem","bandage_complication","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Bandage irritation, chewed bandage, bandage change.","sample report bandage change; sample report got bandage off; sample report bandage irritation","Procedure context."
"postoperative_healing_status","phenotype_events","diagnosis_problem","postoperative_healing_status","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Postoperative healing or incision status.","sample report post-neuter doing well; sample report healing post-surgery; sample report post-sx recheck","Capture normal/abnormal."
"anal_gland_abscess_or_disease","phenotype_events","diagnosis_problem","anal_gland_abscess_or_disease","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Anal gland abscess, anal sac disease, expression issues.","sample report anal gland abscess and surgery","Perineal/anal."
"total_protein","lab_results","chemistry","total_protein","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","g/dL","Total serum protein.","sample reports; AVIE labs","Use long lab_results rows."
"albumin","lab_results","chemistry","albumin","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","g/dL","Albumin.","sample reports; AVIE labs","Use raw analyte synonym too."
"globulin","lab_results","chemistry","globulin","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","g/dL","Globulin.","sample reports; AVIE labs","Use raw analyte synonym too."
"a_g_ratio","lab_results","chemistry","a_g_ratio","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","ratio","Albumin/globulin ratio.","A/G Ratio; Alb/GLOB Ratio","Normalize synonyms."
"ast_sgot","lab_results","chemistry","ast_sgot","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","U/L","AST/SGOT.","AST SGOT lines","Normalize AST labels."
"alt_sgpt","lab_results","chemistry","alt_sgpt","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","U/L","ALT/SGPT.","ALT SGPT/GPT lines","Normalize ALT labels."
"alkaline_phosphatase_alp","lab_results","chemistry","alkaline_phosphatase_alp","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","U/L","Alkaline phosphatase.","ALP; Alk Phosphatase","Normalize synonyms."
"ggt_ggtp","lab_results","chemistry","ggt_ggtp","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","U/L","GGT/GGTP.","GGT; GGTP","Normalize synonyms."
"total_bilirubin","lab_results","chemistry","total_bilirubin","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mg/dL","Total bilirubin.","Total Bilirubin lines","Use serum chemistry."
"bun_urea_nitrogen","lab_results","chemistry","bun_urea_nitrogen","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mg/dL","BUN or urea nitrogen.","BUN; Urea Nitrogen","Normalize synonyms."
"creatinine","lab_results","chemistry","creatinine","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mg/dL","Creatinine.","Creatinine; Creat","Normalize synonyms."
"bun_creatinine_ratio","lab_results","chemistry","bun_creatinine_ratio","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","ratio","BUN/creatinine ratio.","BUN/Creatinine Ratio; BUN/CREA","Normalize synonyms."
"sdma","lab_results","renal","sdma","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","ug/dL","SDMA.","sample report; AVIE; reference lab labs","Use renal context."
"phosphorus","lab_results","chemistry","phosphorus","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mg/dL","Phosphorus.","sample reports; sample report labs",""
"glucose_blood","lab_results","chemistry","glucose_blood","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mg/dL","Blood glucose.","Glucose in chem panels; blood gas","Different from urine glucose."
"calcium_total","lab_results","chemistry","calcium_total","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mg/dL","Total calcium.","Calcium in chemistry panels",""
"calcium_ionized","lab_results","blood_gas","calcium_ionized","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mmol/L","Ionized calcium.","Ca++ in sample report blood gas",""
"magnesium","lab_results","chemistry","magnesium","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mEq/L or mmol/L","Magnesium.","sample reports; blood gas","Retain unit."
"sodium","lab_results","electrolyte","sodium","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mEq/L or mmol/L","Sodium.","Na; Sodium","Normalize synonyms."
"potassium","lab_results","electrolyte","potassium","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mEq/L or mmol/L","Potassium.","K; Potassium","Normalize synonyms."
"sodium_potassium_ratio","lab_results","electrolyte","sodium_potassium_ratio","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","ratio","Na/K ratio.","Na/K Ratio; Sodium:Potassium Ratio","Endocrine/renal context."
"chloride","lab_results","electrolyte","chloride","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mEq/L or mmol/L","Chloride.","Cl; Chloride","Normalize synonyms."
"cholesterol","lab_results","chemistry","cholesterol","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mg/dL","Cholesterol.","sample report; sample report labs",""
"triglycerides","lab_results","chemistry","triglycerides","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mg/dL","Triglycerides.","sample report; sample report labs",""
"amylase","lab_results","chemistry","amylase","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","U/L","Amylase.","sample reports; AVIE labs","Pancreas/GI context."
"lipase","lab_results","chemistry","lipase","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","U/L","Lipase.","sample report labs",""
"precision_psl_pli","lab_results","pancreas","precision_psl_pli","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","U/L","PrecisionPSL or PLI pancreatic marker.","sample report and AVIE PrecisionPSL","Use pancreatitis phenotype separately if source supports."
"ck_cpk","lab_results","chemistry","ck_cpk","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","U/L","CK/CPK.","sample report CPK; sample report CK","Muscle/liver context."
"lactate","lab_results","blood_gas","lactate","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mmol/L","Lactate.","sample report venous blood gas",""
"blood_gas_ph","lab_results","blood_gas","blood_gas_ph","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","","Blood gas pH.","sample report pH","Separate from urine pH."
"po2","lab_results","blood_gas","po2","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mmHg","Blood gas PO2.","sample report PO2",""
"pco2","lab_results","blood_gas","pco2","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mmHg","Blood gas PCO2.","sample report PCO2",""
"hco3","lab_results","blood_gas","hco3","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mmol/L","Bicarbonate.","sample report HCO3",""
"base_excess","lab_results","blood_gas","base_excess","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mmol/L","Base excess.","sample report BE values",""
"anion_gap","lab_results","blood_gas","anion_gap","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mmol/L","Anion gap.","sample report Gap",""
"osmolality","lab_results","blood_gas","osmolality","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","mOsm/kg","Osmolality.","sample report Osm",""
"wbc","lab_results","cbc","wbc","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","K/uL or 10^3/uL","White blood cell count.","CBC in most lab reports","Normalize unit."
"rbc","lab_results","cbc","rbc","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","M/uL or 10^6/uL","Red blood cell count.","CBC in most lab reports","Normalize unit."
"hemoglobin_hgb","lab_results","cbc","hemoglobin_hgb","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","g/dL","Hemoglobin.","HGB; Hemoglobin","Normalize synonyms."
"hematocrit_hct_pcv","lab_results","cbc","hematocrit_hct_pcv","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","%","Hematocrit or PCV.","HCT; Hematocrit; PCV","Normalize synonyms."
"mcv","lab_results","cbc","mcv","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","fL","MCV.","CBC panels",""
"mch","lab_results","cbc","mch","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","pg","MCH.","CBC panels",""
"mchc","lab_results","cbc","mchc","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","g/dL","MCHC.","CBC panels",""
"platelet_count","lab_results","cbc","platelet_count","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","K/uL or 10^3/uL","Platelet count.","PLT; Platelet Count","Use platelet_estimate for clumping."
"platelet_estimate","lab_results","cbc","platelet_estimate","lab_result","adequate|decreased|clumped|not_reported","","Platelet estimate or qualifier.","adequate; clumped; decreased","Important for thrombocytopenia interpretation."
"neutrophils_percent","lab_results","cbc_differential","neutrophils_percent","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","%","Neutrophils percent.","CBC differential",""
"neutrophils_absolute","lab_results","cbc_differential","neutrophils_absolute","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","/uL","Absolute neutrophils.","CBC differential",""
"bands_percent","lab_results","cbc_differential","bands_percent","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","%","Bands percent.","sample report; sample report labs",""
